#  xdot_1       err    ydot_1       err    xdot_2       err    ydot_2       err
   -7.168     0.023    32.515     0.027   -7.3269    0.0533    32.912    0.0602
  -70.367     0.041    87.214     0.048   -70.413    0.0577    87.323    0.0678
    2.002     0.036    -3.903     0.045    1.7817    0.0889   -3.6651    0.0873
     6.81     0.101    -6.592      0.11    6.0226    0.0376   -5.4039    0.0482
  -14.424     0.035   -24.705     0.039   -14.466    0.0433    -24.48    0.0454
    3.739     0.059     -1.83     0.061    3.5834    0.0381   -1.6398    0.0465
    7.756     0.044    -6.997     0.041    7.6484    0.0374   -6.7772    0.0445
    0.521     0.078    -2.477     0.087    0.5263    0.0454   -2.4289    0.0575
    0.089     0.077   -35.779     0.095   -0.0315    0.0449   -35.608     0.048
    1.344     0.045    -2.863     0.056     2.179    0.0702   -1.9552    0.0776
   -3.513     0.049     22.84     0.056   -3.5456    0.0481    22.934    0.0614
   -3.241     0.061   -16.734     0.065   -3.4295    0.0422   -16.624    0.0457
    2.674     0.037    19.188     0.047      6.03    0.0656    17.587    0.0824
  -19.477     0.035    -6.675     0.039   -19.639     0.037   -6.5672    0.0454
   11.856     0.544     36.53     0.498     12.12    0.0499    36.822    0.0594
  -10.737     0.085   -17.674      0.08   -10.878    0.0443   -17.642    0.0533
    7.809     0.027    59.307     0.037    10.782    0.0353    60.681    0.0658
   15.174     0.069    16.543     0.081    15.098     0.049    16.472     0.059
   14.089     0.076    10.327     0.081    13.927    0.0532    10.453     0.055
    6.063     0.062    27.027     0.081     5.967    0.0478    27.176    0.0559
   -6.418     0.042   -13.633     0.051   -5.3265    0.0577   -18.947    0.0606
   -5.531     0.056    -2.137     0.063   -6.3161    0.0761   -3.7419     0.087
    1.019     0.052     2.463     0.051    1.0086    0.0604    2.6958    0.0857
    8.666     0.103   -17.159     0.119    9.0776    0.0414   -17.397    0.0441
    8.073     0.025     -8.38     0.029    8.1635    0.0516   -8.3569    0.0572
   -0.527      0.02    -0.672     0.024    -0.679    0.0782   -0.4807    0.0867
   11.402     0.033    19.601     0.038    11.313    0.0642    19.835    0.0662
    1.638     0.058     1.994     0.068    1.4645    0.0719    2.0398     0.075
   -0.067     0.039    -1.468     0.048   -0.2543    0.0417   -1.4576    0.0435
   42.883     0.123    177.78     0.145    42.922    0.0396    177.89    0.0404
   -0.609      0.04     1.746     0.053   -0.7124    0.0598    1.8588    0.0655
    7.231     0.028    -4.547     0.032    7.1523    0.0522   -4.3864    0.0588
   13.574      0.06    47.075     0.066    13.476    0.0457    47.247    0.0479
   -5.374     0.038    -4.258      0.05   -5.5747    0.0497   -4.0686    0.0622
    9.133     0.056     1.556     0.072    9.0544    0.0491     1.725    0.0571
   -1.876     0.036    -7.504     0.039   -2.4866    0.0558   -8.9867    0.0644
    3.453     0.066   -19.852     0.072    4.0555    0.0629   -19.949    0.0611
    5.273     0.024     0.414     0.029    5.2676    0.0673    0.6263    0.0874
   10.507     0.021      6.09     0.025    10.387    0.0649    6.2393    0.0791
   26.827     0.101    11.999     0.117     26.72     0.042    12.127    0.0422
   -3.368     0.143    -5.713     0.167   -3.1242    0.0781   -4.9317    0.0535
    1.862     0.023    -3.389     0.025    1.7955    0.0643   -3.3605    0.0698
  -11.176     0.079    -5.992      0.09   -11.249    0.0499   -5.9504    0.0681
    1.125     0.051    -3.422     0.056    1.8772    0.1526   -3.4539     0.147
    5.699     0.125    17.619     0.137     5.637    0.0513    17.761    0.0544
    1.721     0.053     3.533     0.049    1.0601    0.0525    3.6914    0.0612
     0.75     0.095    -5.143     0.086    0.6042    0.0414   -4.9633    0.0441
    5.825       0.1    -9.675     0.101    5.8673    0.0832   -9.7204    0.1152
   -4.261     0.033   -15.839     0.036   -4.3244    0.0664   -15.716    0.0556
   -0.155      0.04   -10.033     0.052   -0.3877    0.0511   -9.8695    0.0661
   -8.671      0.04    -8.817     0.048   -8.9127    0.0456   -8.4103    0.0552
   -1.094     0.062    -8.046     0.065   -1.2086    0.0513   -7.9508    0.0529
   11.746     0.043    -4.932     0.038    11.616    0.0593   -4.6414    0.0634
   -0.821     0.055     0.806     0.057    -1.306    0.0774    0.0128    0.0873
   -0.053     0.025    -8.756     0.029    0.9458    0.0593   -8.3878     0.068
  -21.951     0.035   -25.615     0.038   -22.163    0.0418   -25.671    0.0496
    4.647     0.035    -5.481     0.043    4.6619    0.0492    -5.298    0.0585
   -3.568      0.05    -0.956     0.059   -4.8025    0.1689   -1.1663    0.2253
    3.857     0.031    -6.704     0.038    3.5644    0.0604   -4.4025    0.0723
   15.136     0.031    16.339     0.031    14.152    0.1543    17.418    0.2034
   -7.555     0.093    -1.199     0.086   -7.9373    0.0397   -2.0268    0.0428
    1.186     0.026    -4.076     0.032    0.9233     0.047   -3.4018    0.0565
    7.223     0.095     7.666     0.106    7.2043     0.049    7.8636    0.0522
   -1.389     0.057    -4.054      0.06   -1.3921    0.0441   -3.4936    0.0466
    1.719     0.037     0.056     0.039    1.6007    0.0654    0.3765     0.069
    5.254     0.076   -43.829     0.087    5.1747    0.0389   -43.673    0.0474
    5.656     0.048      6.89     0.055    5.3562     0.049    6.9286    0.0533
  -74.432     0.066   -88.904      0.07   -74.596    0.0402   -88.786    0.0487
    1.833     0.034    13.959      0.04    1.6773    0.0595      13.9    0.0531
   75.647      0.04    84.678     0.035    75.662    0.1277    85.291    0.1341
  -20.972     0.048   -13.814     0.057   -21.168    0.0473   -13.651    0.0565
    2.601     0.047     0.002      0.05    5.2345    0.4053    -1.515    0.3748
   16.005     0.046    26.027      0.06    15.788     0.038    26.177    0.0548
    1.735     0.049    -2.941     0.062    1.6506    0.0713   -2.9986    0.0842
   110.67     0.084    103.25     0.089    110.85    0.0399    103.12    0.0451
   38.693     0.068     5.837     0.083    38.575    0.0366     6.015    0.0484
    -2.87     0.037   -11.017     0.048   -3.0171    0.0335    -10.89    0.0423
    0.935      0.03     3.186     0.034    0.5288    0.2458    3.4982    0.2844
      5.8     0.035    -6.483     0.042     5.665    0.0412   -6.2825    0.0501
   10.248     0.049   -29.553     0.053    10.122    0.0455   -29.382    0.0524
    1.658     0.052    -0.459     0.065    2.6679     0.063   -1.6434    0.0848
   56.718     0.325    196.78     0.386    57.177    0.0441     195.9    0.0538
    0.904     0.054    -5.503     0.061    0.8644    0.0674   -5.4709    0.0735
   -2.315     0.049   -12.836      0.05   -2.2193    0.0535   -11.161    0.0587
   -7.854      0.04   -23.053     0.039   -7.9769    0.0511    -22.96    0.0523
